tipo,fecha,id_tuit,id_conversacion,cuenta_origen,texto,referencia_anuncio,likes,rts
MENCION_DIRECTA,2026-03-09 22:06:16+00:00,2031129466605392209,2031123279096983729,basubte,@VecinosCon5633 @BastadeDemoler @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor Yo veo una estación iluminada.,,0,0
MENCION_DIRECTA,2026-03-09 22:03:49+00:00,2031128852341076436,2031126453425758626,basubte,"@VecinosCon5633 @jorgemacri @gcba @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor “Querían Venecia, les dí Venecia”",,1,0
MENCION_DIRECTA,2026-03-09 22:03:29+00:00,2031128766672482387,2031128766672482387,basubte,"@basubte @Emova_arg  Malísimo linea B que tenés que adivinar la parada. No tenes carteles o audio dentro del vagón, y los carteles de afuera no se ven.  Linea A no le andan los carteles y audio de vagón a un convoy hoy.  Se agradece..",,0,0
MENCION_DIRECTA,2026-03-09 21:55:38+00:00,2031126793214730691,2031126793214730691,basubte,"Ustedes no entienden nada, @jorgemacri te hace vivir una experiencia INMERSIVA en el @basubte  Uds se quejan de todo che!!! No se los puede sorprender https://t.co/SCv1wrm7JI",,0,0
MENCION_DIRECTA,2026-03-09 21:54:17+00:00,2031126453425758626,2031126453425758626,basubte,Subte D. Estación Pueyrredón. Las vías están inundadas. ¿Qué hacemos? Tranquilos: seguro están redactando el comunicado explicando que todo funciona normalmente. @jorgemacri @gcba @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/sarhKUJO85,,11,6
MENCION_DIRECTA,2026-03-09 21:52:28+00:00,2031125996187828438,2031125996187828438,basubte,"Subte y las comunicaciones. Cuando no hay QR, aparece el cartel más improvisado del universo. Planificación nivel: lo resolvemos sobre la marcha. O... Lo vamos viendo... #CABAtierradenadie @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/x9WXjEr9Is",,12,1
MENCION_DIRECTA,2026-03-09 21:49:43+00:00,2031125302160568695,2031125302160568695,basubte,Subte D. Estación Catedral. Escalera mecánica fuera de servicio. Para cuando la decisión política de mantener la infraestructura del transporte público? #CABAtierradenadie @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/O2gwLpK4b8,,13,4
MENCION_DIRECTA,2026-03-09 21:48:26+00:00,2031124980650463462,2031124980650463462,basubte,Subte E. Mugre por donde mires. Para cuando la decisión política de mantener limpio el subte? #CABAtierradenadie @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/OKjERpFCsj,,6,2
MENCION_DIRECTA,2026-03-09 21:45:38+00:00,2031124276389020036,2028405482424062162,basubte,"@JonathanChazar1 @danyelk97 @basubte Habló el cógido sin forro por Milei. Llorala kuka, volvé al penal de Ezeiza. https://t.co/vsZALZO9DF",,0,0
MENCION_DIRECTA,2026-03-09 21:41:40+00:00,2031123279096983729,2031123279096983729,basubte,Subte Estación Pueyrredón. Sin luz. Para cuando la decisión política de mantener la infraestructura del transporte público? @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/ttPvFOYfi8,,11,5
MENCION_DIRECTA,2026-03-09 21:40:46+00:00,2031123052390470037,2031123052390470037,basubte,Subte Estación Medrano. Ropa descartada por fisuras. Para cuando la decisión política de mantener el orden en el transporte público? #CABAtierradenadie @jorgemacri @gcba @Emova_arg @basubte @DefensoriaCABA @BAdefensa @DNDConsumidor https://t.co/f6lEM46tuo,,7,6
